region,mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_08,GR-Athens,12-01-2010,,0.806601,85.000000,0.766796,0.225277,1.287805,
100_09,GR-Athens,01-01-2010,,0.643959,,,,,
100_09,GR-Athens,01-01-2011,2.498232,0.838109,96.000000,0.787293,0.200327,0.837209,1131
100_09,GR-Athens,02-01-2010,,0.684052,74.000000,0.800401,0.194969,1.125984,
100_09,GR-Athens,02-01-2011,3.242975,0.843859,90.000000,0.718098,0.275883,1.040334,970
100_09,GR-Athens,03-01-2010,2.801383,0.723531,103.000000,0.753667,0.235525,1.708537,516
100_09,GR-Athens,03-01-2011,3.485729,1.120942,85.000000,0.709168,0.283016,0.918546,1050
100_09,GR-Athens,04-01-2010,2.940731,0.670451,108.000000,0.645864,0.344388,1.396804,1392
100_09,GR-Athens,05-01-2010,2.824553,0.686622,109.000000,0.720635,0.269972,1.454690,1625
100_09,GR-Athens,06-01-2010,2.890952,0.758692,109.000000,0.788855,0.199355,1.681741,1579
100_09,GR-Athens,07-01-2010,2.677373,0.804453,107.000000,0.750488,0.242726,1.377281,1490
100_09,GR-Athens,07-01-2011,4.029450,1.606935,84.000000,0.653697,0.339886,1.272569,769
100_09,GR-Athens,08-01-2010,2.764668,0.764289,106.000000,0.654604,0.338142,1.052674,795
100_09,GR-Athens,08-01-2011,3.397198,1.286550,88.000000,0.696853,0.291498,1.257094,793
100_09,GR-Athens,09-01-2010,2.767888,0.739420,107.000000,0.573648,0.418733,0.956949,821
100_09,GR-Athens,09-01-2011,3.829309,1.246829,84.000000,0.732199,0.263359,1.170916,736
100_09,GR-Athens,10-01-2010,2.753275,0.679335,105.000000,0.432577,0.563551,0.806415,1044
100_09,GR-Athens,11-01-2010,2.822756,0.738861,100.000000,0.507254,0.485655,0.805112,986
100_09,GR-Athens,12-01-2010,2.856227,0.804610,99.000000,0.625179,0.370631,1.001703,1128
124_ab,FR-Paris,01-01-2011,2.186836,0.395321,152.000000,0.874436,0.108111,2.356870,366
124_ab,FR-Paris,02-01-2011,2.167838,0.377154,156.000000,0.876387,0.101633,2.594901,239
124_ab,FR-Paris,03-01-2011,,0.391706,152.000000,0.828201,0.154765,1.920635,
124_ab,FR-Paris,07-01-2011,,0.466082,156.000000,0.623825,0.366111,1.739414,
124_ab,FR-Paris,11-01-2010,,0.364597,153.000000,0.827888,0.157523,1.734848,
124_ab,FR-Paris,12-01-2010,2.710266,0.390224,154.000000,0.896806,0.084232,2.740816,355
124_ab,GR-Athens,07-01-2011,,0.484828,219.000000,0.559803,0.417050,1.821101,
124_ab,GR-Athens,08-01-2011,,0.522277,217.000000,0.398837,0.576444,1.836820,
124_ab,GR-Athens,09-01-2011,,0.579439,215.500000,0.575612,0.405085,1.910345,
124_ab,NL-Amsterdam,12-01-2010,2.439741,0.387330,166.000000,0.826323,0.165131,2.604712,246
124_ab,US-CA-LosAngeles,01-01-2011,3.452542,0.417829,84.000000,0.777293,0.205893,1.443268,429
124_ab,US-CA-LosAngeles,02-01-2010,3.845631,0.402318,66.000000,0.871856,0.118530,2.276923,257
124_ab,US-CA-LosAngeles,02-01-2011,3.524175,0.403696,90.000000,0.873162,0.116426,1.654054,369
124_ab,US-CA-LosAngeles,03-01-2010,3.530417,0.392323,66.000000,0.756323,0.238506,1.975694,338
124_ab,US-CA-LosAngeles,03-01-2011,,0.456878,91.000000,0.859373,0.125106,1.734940,
124_ab,US-CA-LosAngeles,04-01-2010,3.692450,0.396224,75.000000,0.683898,0.305006,2.085603,311
124_ab,US-CA-LosAngeles,05-01-2010,4.531941,0.371738,73.000000,0.709671,0.285746,2.138425,247
124_ab,US-CA-LosAngeles,06-01-2010,4.368862,0.396314,66.000000,0.800373,0.190718,2.478947,233
124_ab,US-CA-LosAngeles,07-01-2010,3.465763,0.393665,68.000000,0.796547,0.199578,2.041401,213
124_ab,US-CA-LosAngeles,07-01-2011,3.747727,0.460455,95.000000,0.941942,0.040382,2.894799,647
124_ab,US-CA-LosAngeles,08-01-2010,,0.367557,66.000000,0.824232,0.165097,1.729323,
124_ab,US-CA-LosAngeles,09-01-2010,2.912931,0.328820,85.000000,0.818294,0.170466,1.481250,215
124_ab,US-CA-LosAngeles,09-01-2011,,0.599889,94.500000,0.904132,0.076644,2.481172,
124_ab,US-CA-LosAngeles,10-01-2010,3.902455,0.400330,84.000000,0.768072,0.224516,1.657505,304
124_ab,US-CA-LosAngeles,11-01-2010,3.878783,0.408580,87.000000,0.854612,0.134496,2.112311,943
124_ab,US-CA-LosAngeles,12-01-2010,4.368404,0.411193,83.000000,0.839397,0.144000,1.843195,662
124_ab,US-CA-MountainView,01-01-2011,3.833460,0.406644,77.000000,0.939895,0.045126,2.488344,3301
124_ab,US-CA-MountainView,02-01-2010,3.392196,0.402524,70.000000,0.864994,0.122762,2.705882,842
124_ab,US-CA-MountainView,02-01-2011,4.086134,0.409869,77.000000,0.919910,0.058793,2.566200,1430
124_ab,US-CA-MountainView,03-01-2010,4.458129,0.394693,70.000000,0.750105,0.233974,2.578459,872
124_ab,US-CA-MountainView,03-01-2011,4.109053,0.409456,78.000000,0.906138,0.075956,2.136456,704
124_ab,US-CA-MountainView,04-01-2010,4.249671,0.401359,71.000000,0.818097,0.173413,2.551674,867
124_ab,US-CA-MountainView,05-01-2010,4.588894,0.402151,48.000000,0.792057,0.198852,2.735702,726
